BRA,Summary
No,<video> causes SharedMemory leak
No,Videos only load if cursor will moved
No,Missing (transparent) frames with video tag
No,Crash due to fatal assert in winmm: cubeb_refill_stream/winmm_refill_stream
No,Xperia Tipo - MP4 playback with green artifacts
No,[Sora][music player]music player crashed while playing this song
No,[Tarako]: Camera is not stable.
No,Unsupported mime & file type in 32 bit Firefox
No,Intermittent test_videocontrols_audio_direction.html | Test timed out | [SimpleTest.finish()] this test already called finish! | called finish() multiple times | application timed out after 330 seconds with no output
No,Some WebM videos are viewed with the wrong aspect ratio
No,regression in windows 7 xperf mainthread bytes read during test run
No,Short HTML5 audios doesn't stops playing when using audio.stop() function
No,Linux:  Audio's canPlayType() fails for MP3 if codec is supplied
No,"[B2G][Browser]Dragging youtube slider can cause video to skip to end, any subsequent slider adjustments auto snap to end of video"
No,SoundCloud media resource could not be decoded on Linux
No,Crappy decoding of h264 codec
No,"Endless errors in the Error Console enabling <video>'s Statistics while using preload=""none"""
No,Hard reset when i watch any MP4 video
No,WebM videos stutter on playback
No,no audio while watching html5 video
No,Intermittent test_played.html | Test timed out.
No,"Intermittent content/media/test/test_seek.html | Test timed out., followed by timeouts in test_seek_out_of_range.html, test_timeupdate_small_files.html & test_too_many_elements.html"
No,"[test disabled] TEST-UNEXPECTED-FAIL | test_videoDocumentTitle.html | Doc title incorrect - got ""320x240.ogv"", expected ""bug461281.ogg"""
No,No sound with OSS4 in HTML5 videos
No,Soundcloud player is broken post 29
No,"[OSX] 24.6.0-ESR: cannot click on player controls (Flash, Silverlight)"
No,Old versions of ffmpeg/avconv produce invalid WebM files with negative block timestamps
No,Fix intermittent B2G timeouts during test_autoplay_contentEditable.html and re-enable it
No,"Intermittent test_bug726904.html | clientWidth should be 400 - got 0, expected 400 | clientHeight should be 400 - got 0, expected 400"
No,Intermittent test_metadata.html | Test timed out.
No,"Intermittent TEST-UNEXPECTED-FAIL | test_getUserMedia_constraints.html,test_getUserMedia_exceptions.html,test_getUserMedia_gumWithinGum.html | Assertion count 123 is greater than expected range 0-0 assertions. | ABORT: ActorDestroy by IPC channel failure"
No,Intermittent content/media/test/test_media_selection.html | Test timed out.
No,Crash during shutdown CC with <video><track>
No,"Intermittent e10s mochitest-1 Shutdown | application terminated with exit code 6 after ""firefox: pthread_mutex_lock.c:62: __pthread_mutex_lock: Assertion `mutex->__data.__owner == 0' failed."""
No,audio not stopping at correct time when using some Audio Sprites
No,LSan-detected leaks with GeckoMediaPluginService::GetGMPVideoEncoder() in Mochitest-3
No,Cannot play video uploaded in google drive
No,"Intermittent test_bug495145.html | Assertion count 1 is greater than expected range | leakcheck | 156 bytes leaked (Mutex, ReentrantMonitor, nsRunnable, nsTArray_base, nsThread) from ""Non-empty event queue being destroyed; events being leaked"""
No,"Intermittent Windows mochitest-1 leakcheck | 7843 bytes leaked (BaseMediaResource, CondVar, FileBlockCache, Image, ImageContainer, ...) with leaked URLs: http://mochi.test:8888/tests/content/media/test/320x240.ogv"
No,"Intermittent OSX leakcheck | 5664 bytes leaked (AudioData, BaseMediaResource, CondVar, FileBlockCache, MediaCache, ...)"
No,"Intermittent bug686957-ref.html | load failed: timed out waiting for reftest-wait to be removed and leaks | leakcheck | 14960 bytes leaked (BaseMediaResource, CompositableChild, CompositableClient, CompositableHost, CompositableParent, ...)"
No,"Intermittent leakcheck | 643963 bytes leaked (AsyncLatencyLogger, AtomImpl, AudioChannelService, CacheObserver, ChannelMediaResource::Listener, ...)"
No,"Intermittent TEST-UNEXPECTED-FAIL | /tests/content/media/test/test_preload_actions.html | (19) preload is initially auto - got false, expected true"
No,Intermittent TEST-UNEXPECTED-FAIL | /tests/content/media/test/test_source_media.html | application timed out after 330 seconds with no output
No,Intermittent test_played.html | application timed out after 330 seconds with no output
No,Intermittent test_playback.html | application terminated with exit code 256 | application crashed [@ CoreAudio + 0xa38b]
No,Intermittent test_readyState.html | Test timed out.
No,Intermittent TEST-UNEXPECTED-FAIL | /tests/content/html/content/test/test_track_disabled.html | application timed out after 330 seconds with no output
No,"TEST-UNEXPECTED-FAIL | leakcheck | 72 bytes leaked (ReentrantMonitor, WMFSourceReaderCallback)"
No,Intermittent TEST-UNEXPECTED-FAIL | /tests/content/html/content/test/test_track.html | application timed out after 330 seconds with no output
No,Intermittent Linux timeout in content/media/test/test_playback_rate.html
No,Intermittent PROCESS-CRASH | /tests/content/media/test/test_seek.html | application crashed [@ CoreAudio + 0xdfd0]
No,Intermittent test_streams_element_capture.html on linux64; test case gizmo.mp4 | uncaught exception - NS_ERROR_NOT_AVAILABLE: Component is not available at http://mochi.test:8888/tests/content/media/test/test_streams_element_capture.html:19
No,Intermittent content/media/test/test_played.html | application crashed [@ jemalloc_crash]
No,"Intermittent test_playback.html, 481921.html, 358679-1.xhtml | Assertion count 1 is greater than expected range (RECURSION_LEVEL(table_) > 0: 'RECURSION_LEVEL(table) > 0')"
No,"Intermittent media-element-source-seek-1.html | Exited with code -11 during test run | after WARNING: Failed to unlock the wakelock.: '!rv.Failed()', file HTMLMediaElement.cpp, line 2265"
No,Intermittent test_play_events_2.html | application timed out after 330 seconds with no output | PROCESS-CRASH | application crashed [@ nsBlockFrame::DrainPushedFloats(nsBlockReflowState&)]
No,Intermittent TEST-UNEXPECTED-FAIL | /tests/content/media/test/test_texttrackregion.html | application timed out after 330 seconds with no output
No,Intermittent Linux content/media/test/test_bug465498.html on linux64; test case gizmo.mp4 | Test timed out. (followed by Shutdown timeout)
No,Intermittent ASAN TEST-UNEXPECTED-FAIL | /tests/content/media/test/test_video_to_canvas.html | Shouldn't throw exception while drawing to canvas from video for gizmo.mp4
No,Intermittent content/media/test/test_closing_connections.html | application crashed [@ libc.so + 0xc030]
No,"Intermittent test_play_events.html | Check expected event got canplaythrough at canplay for vp9.webm uneval(event.type)=""canplaythrough"" typeof(event.type)=string uneval(v._state)=""canplay"" typeof(v._state)=string tokens[canplay]=playing ..."
No,Intermittent test_playback.html | bug495129.ogv duration (3.691972) should be around 2.41 etc.
No,"Intermittent test_play_events_2.html | Last event should be canplaythrough for http://mochi.test:8888/tests/content/media/test/gizmo.mp4 - got playing, expected canplaythrough"
No,Intermittent TEST-UNEXPECTED-FAIL | /tests/content/media/test/test_replay_metadata.html | CurrentTime (0) should be around 0.266664 for 320x240.ogv
No,Intermittent test_trackevent.html | application timed out after 330 seconds with no output
No,Intermittent Win8/Win7 content/media/test/test_bug465498.html | Test timed out.
No,"Add MOZ_COUNT_CTOR,DTOR for GMPProcessParent"
No,100% cpu after html5 video ends
No,Intermittent test_info_leak.html | application crashed [@ 0x0][@ libxul.so!mozilla::BaseAutoLock<mozilla::Mutex>::~BaseAutoLock()]
No,"Intermittent test_progress.html | This test left crash dumps behind, but we weren't expecting it to! | test_streams_element_capture.html | application crashed [@ oc_dec_residual_tokens_unpack]"
No,Intermittent 500328-1.html | application timed out after 330 seconds with no output in HTMLMediaElement::ShutdownDecoder
No,"Intermittent test_play_events.html | application crashed [@ js::gc::MarkString(JSTracer*, js::BarrieredPtr<JSAtom, unsigned int>*, char const*) + 0x1a]"
No,Intermittent test_load.html | Exited with code -1073741819 during test run | application crashed [@ mf.dll + 0xd1261]
No,Intermittent test_volume.html | Test timed out.
No,No video shown when mp4 is played using Quicktime on Firefox 4/5 for Mac
No,Intermittent test_bug495145.html | application timed out after 330 seconds with no output
No,"Failure in test_load.html occurs after SimpleTest.finish(), and thus is hidden in TBPL"
No,MOZ_GMP_PATH should be detected once after startup or some delay
No,Minor Media Source Extension spec updates
No,"No ""load"" or ""readystatechange"" event on <track> node"
No,HTML Video Tag in Firefox causes blue screen on 64bit Windows 7
No,MediaSource - Crash while seeking video
No,[Sora][Monitor][Message][Input Method]Click sound function sudden  invalid when use keyboard
No,Video tag control clipping with CSS border-radius and no focus outline
No,mp4/h.264 playback on Mavericks results in blank video output
No,Apple PDM media mochitest timeouts
No,Youtube html5 video player doesn't work with captions on
No,Media Source API doesn't allow changing cursor position on an incomplete video
No,"Buffering issues on Youtube MediaSource, resulting in crash when seeking."
No,libcubeb: no sound with alsa-plugins-oss
No,Hang at shutdown in MediaDecoderStateMachine::StopDecodeThread
No,Intermittent TEST-UNEXPECTED-FAIL | /tests/content/media/webspeech/recognition/test/test_success_without_recognition_service.html | unexpected event: error -- No speech detected (timeout)
No,"crash in mozilla::WebMContainerParser::IsInitSegmentPresent(unsigned char const*, unsigned int)"
No,HTML5 YouTube player stops video with only audio still playing if setting media.mediasource.enabled=true
No,no hardware acceleration support for WebM on HD4000 causes high power use
No,audio file skips to end
No,ogg video won't play with some audio configurations
No,crash in linker@0x2b5e
No,Video on second screen gets displayed on first screen in fullscreen mode
No,Intermittent media/test/test_progress.html | Test timed out.
No,"Intermittent test_playback.html | This test left crash dumps behind, but we weren't expecting it to! [@ silk_NLSF_unpack]"
No,"Intermittent test_seek-2.html,test_seek-5.html | application crashed [@ mozilla::AudioSink::Drain()]  (""Assertion failure: mPlaying && !mAudioStream->IsPaused(), at AudioSink.cpp:211"")"
No,MP4 doesn't work in MediaSource Extensions
No,No audio from any videos
No,MSE appendBuffer only plays first data appended in test case
No,Seeking in Dash player demo fails to complete
No,Potential racing condition in MediaDecoderStateMachine when multiple seeks are made
No,MSE: Spinner doesn't show when buffering after YouTube seek
No,Audio vanishes from youtube videos with MSE enabled
No,"MediaSource: ""ASSERTION: Must have state machine to start state machine thread"""
No,MediaSource decoder creation ignores codec prefs such as media.webm.enabled
No,[B2G][Flame] Volume adjustment isn't linear and cuts off abruptly when sliding all the way to the minimum
No,"Intermittent test_chaining.html | [finished chained-audio-video.ogg-7] Length of array should match number of running tests - got 0, expected 1 | [finished variable-preskip.opus-8] Length of array should match number of running tests - got -1, expected 0"
No,Investigate randomly failing test_FrameSelection when Intel WebM decoder is enabled on Windows
No,Crash in mozilla::MediaDecoderReader::RequestVideoData
No,Assert that MediaDecoderReader::Shutdown has been called in MediaDecoderReader's destructor
No,HTML5 loses audio/video sync when pausing/replaying/skipping
No,[E10S] Firefox crashed after watching a video with e10s
No,Video/audio doesn't stop when a tab is closed
No,FB Paper website maxes out CPU
No,Deal with timecode error episilon when handling time ranges
No,MSE WebM playback on youtube stops intermittently after 9-15 seconds
No,Poor playback on YouTube 60fps video
No,content/media/WebVTTLoadListener.cpp:196: missing break ?
No,Autoplay start delay on certain youtube if media.mediasource.enabled = true
No,libstagefright video decoding renders frame with gray borders
No,"crash in mozilla::MediaDecoderReader::DecodeToFirstAudioData @ libstagefright.so@0x7... on Samsung Galaxy SII, SIII, Note 10.1 or Note II with smdk4x12 and smdk4210 hw running JB"
No,HTML5 video not firing playing event first time
No,these mp4 videos don't play in Firefox on my Nexus 4
No,crash in mp4_demuxer::Moof::~Moof()
No,Video on the Edward Snowden wired post doesn't render when being played
No,Youtube videos are jittery and/or pause frequently.
No,Vines Playing Audio Only (No Video) on HTC One (M7)
No,This video froze and sputtered and had problems the first time I played it this morning
No,"crash in nsTArray_base<nsTArrayInfallibleAllocator, nsTArray_CopyWithMemutils>::IncrementLength(unsigned int) | mp4_demuxer::Moof::Moof(mp4_demuxer::Moof const&)"
No,Certain mp4 video flicker while playback
No,MSE: Crash following call to MediaSourceReader::BreakCycle
No,Video playback really chunky with MSE
No,Intermittent 40929-1.html | load failed: null | application timed out after 330 seconds with no output
No,Building SeaMonkey with ac_add_options --disable-eme fails
No,Unable to disable internal MP4 player in firefox 35
No,Update DOM APIs for EME
No,Full screen video looks as random-colored dots or black screen
No,Video and sound quickly go out of sync. Sound at good speed but video shoots ahead
No,mochitest-plain: intermittent 'test_media_selection.html | Test timed out.'
No,MediaCodecReader 720p plackback performance issue.
No,Firefox crash in mp4_demuxer::MP4Demuxer::DemuxAudioSample()
No,MSE does not recover from source decoder EOF
No,"[e10s] ""BART to OAK"" YouTube video playback is very janky with e10s and media.mediasource.enabled"
No,Changing playbackRate on a video element causes the image to freeze
No,Playback hangs with HTML5 video/audio on YouTube in Nightly
No,Memory keeps increasing during video playback with developer-pref set
No,Videos intermittently stop playing when machine comes out of sleep mode
No,Some HTML5 videos (incl. YouTube) play in slow motion since 2015-01-20
No,[e10s] HTML5 seek strange behavior on YouTube
No,Firefox 29.0b* (64-bit for Linux) Crashing After Gstreamer Packages Update
No,A bunch of threads spinning during YouTube playback
No,LG Optimus 4X HD (LG-P880) No h.264 playback on any media
No,Youtube video goes silent intermittently
No,YouTube html5 video no playback
No,Playback of H.264 on Mac drops many frames on slower system
No,High CPU usage with h.264 video
No,Intermittent  TEST-UNEXPECTED-FAIL | /tests/content/media/test/test_loop.html | application terminated with exit code 4 | application crashed [@ UnmarkGrayChildren]
No,Nightly 38.0a1 youtube video plays slower than audio
No,Can't load an HTML Youtube video on Linux
No,Youtube video doesn't play when reloading it with MP4+MSE enabled
No,Youtube videos not working on Nightly
No,sound disappears when playing html after some time (since FF34)
No,[EME] GMPStorage needs be open records exclusively with multiple same-origin Firefox instances
No,Bug 1045209 regressed loading GMPs from MOZ_GMP_PATH
No,[EME] Crash in MediaKeySession::SetSessionId() on mse-clearkey in today's Nightly
No,[EME] GMP shutdown hang
No,"Under some unknown circumstances, MP4Reader can be created with a null decoder"
No,Intermittent test_WaitingOnMissingData.html | application crashed [@ mozilla::`anonymous namespace'::RunWatchdog(void *)]
No,[Youtube] Clicking Next/Previous in HTML5 Full screen will sometimes NOT auto play the video
No,[e10s] HTML5 audio uses lots of CPU
No,"Intermittent test_chaining.html | [finished chained-audio-video.ogg-7,variable-preskip.opus-8] Length of array should match number of running tests - got 0, expected 1 (or -1, 1) (or -2, 0)"
No,Frame drops during end-to-end playback
No,"Intermittent WITH NO ASSERT leakcheck | 156 bytes leaked (Mutex, ReentrantMonitor, nsRunnable, nsTArray_base, nsThread)"
No,[Youtube HTML5 video] No sound playback in some videos
No,Intermittent test_paused_after_ended.html | Test timed out.
No,[FFOS] MP4 sometimes cannot be played at the first time with PDM pref enabled
No,[RTSP] Seek function does not work for 3GP Video RTSP streams
No,"FX OS crash in android::OmxDecoder::NotifyDataArrived(char const*, unsigned int, long long)"
No,"[tarako][dolphin][flame][music]when music app plays some .mp3 musics, the progress bar can not change with time"
