BRA,Summary
No,XML check output window does not updated until user clicks in it
No,filtering doen't work in element value completion.
No,ejb-jar.xml locks
No,Cannot create Javadocs for WSDLModel
No,DnD for a group of elements can't be started in the usual way
No,Schema Based code completion should provide completion values for attributes of type enumeration
No,NPE in DocumentModelModificationTransaction.access
No,"InvalidClassException : org.netbeans.modules.xml.text.indent.DTDIndentEngine; local class incompatible: stream classdesc serialVersionUID = 3106188490786412631, local class serialVersionUID = 81774022"
No,Problem with DTD parsing
No,'Target Folder Is Read Only' on attempting to create new XML Schema
No,undo/redo support does not work in visual editor
No,RuntimeException at AttrImpl.getFirstChild:121
No,Message in log: A loop in SyntaxElement-s detected around offset 1062 when scanning the document.
No,Specifing newline before brace causes Warning
No,Generating XML parsing code from dtd files.
No,Inconsistent sequence of documents in XML category in New File Wizard
No,Missing bundle key for text/xml-external-parsed-entity
No,Schema based code completion using catalog bug
No,'Schema' view should work correctly
No,The comparison of the expected output and the actual output seems incorrect
No,xml error popup on start
No,I18N - : is used to separate key-element
No,Incosistent behaviour of the popup menu actions in WSDL navigator
No,NPE at ExplorerManager.findExplorerActionsImpl(ExplorerManager.java:829)
No,Using web services in web projects creates very deep directory structures that gives trouble with CVS/Mercurial
No,Collapse Icons Not Present
No,Action class without human readable action name
No,[65cat] IllegalStateException: [Winsys] TopComponent org.netbeans.core.multiview.MultiViewCloneableTopComponent throws runtime exception from its componentShowing() method. Please repair it! Probable cause is
No,[65cat] AssertionError: Scene.validate was not called after last change. Widget is not validated. See first Q/A at http://graph.netbeans.org/faq.html page.
No,[65cat] AssertionError: Duplicate setViewShowing: false
No,Too many extra pages printed for XML design view
No,NetBeans completely ignores XML template
No,Unable to install plugin(NBM file)
No,NullPointerException at org.netbeans.modules.xml.schema.multiview.SchemaABEViewMultiViewElement.emptyUI
No,NullPointerException at org.netbeans.modules.xml.schema.ui.nodes.categorized.customizer.SimpleTypeCustomizer.determineValidity
No,Hibernate XML Schema Bug
No,OutOfMemoryError: Java heap space
No,XMLKit class problem
No,Editing XML tags has issues with auto complete
No,AssertionError at org.netbeans.modules.xml.schema.model.impl.resolver.ImportResolver.findInIncludedImportsDown
No,NullPointerException at org.netbeans.modules.xml.axi.impl.Util.updateAXIDocument
No,IllegalStateException: The model is not initialized or is broken.
No,NullPointerException at org.netbeans.modules.xml.schema.multiview.SchemaColumnViewMultiViewElement.getToolbarRepresentation
No,Do not override DataEditorSupport.Env.findCloneableOpenSupport
No,completion error for layer.xml
No,[68cat] Cannot view XML for configuration files
No,"[68cat] ""All XML Actions"" entry in XML editor context menu"
No,[68cat] IllegalStateException: Warning: multiple instances of shared class org.netbeans.modules.xml.actions.CollectDTDAction created.
No,NullPointerException at org.netbeans.modules.xml.multiview.XmlMultiViewElement.componentShowing
No,XSD design view is missing.
No,Can't validate WSDL
No,[69cat] Ant script code completion doesn't replace already typed characters
No,"[69cat] XML editor doesn't show ""code folding"" markers for elements"
No,NetBeans hangs for some time after modification of XML Schema
No,AbstractDocumentComponent.getQName throws undocumented ISE
No,"[69cat] org.openide.filesystems.FileStateInvalidException: MasterFileObject[/var/folders/cs/csITBEzdE-ub1k0X1Vp0FU+++TI/-Tmp-/vcs-1277192814707/faces-config.xml@118c7cce:3f7a7834,valid=false]"
No,AssertionError at org.netbeans.modules.xml.xam.AbstractModelFactory.getModel
No,NullPointerException at org.netbeans.modules.xml.multiview.XmlMultiViewEditorSupport$7.run
No,AssertionError: Root element position should be greater than 0
No,IllegalStateException: Too many org.netbeans.modules.xml.multiview.ui.SectionInnerPanel$2 (1) in shared RequestProcessor; create your own
No,[70cat] JAX-B Project dependencies not honored.  XJCTask cannot be found.
No,No documentation support for XML attribute or value completion
No,Double clicking project.xml does not open it
No,Versions in completion of <version> in pom.xml should be in descending order
No,"Navigator window says ""Document"" for Design View"
No,name in XML Schema wizard is case-insensitive
No,NullPointerException at org.netbeans.modules.xml.catalogsupport.DefaultProjectCatalogSupport.resolveProjectProtocol
No,Opening non-existing XML -> java.lang.IllegalArgumentException
No,Badly reported errors from JAXP transformation
No,Applying an XSL Tranformation crashes Netbeans
No,NullPointerException at org.netbeans.modules.xml.retriever.catalog.impl.CatalogModelImpl.extractRealURI
No,AssertionError at org.netbeans.modules.xml.schema.model.impl.GlobalComponentsIndexSupport.findByNameAndType
No,Does not parse UTF-8 XML with UTF-8 marker byte
